resolution,force_iter,force,dt,target_re,rel_re_error,status,note,steps,elapsed_s,u_mean,p_mean,re,outer_mean,outer_max,outer_total
64,1,700.0,0.07142857142857142,1.0,0.060990938567424324,ok,,46,1.150310467928648,1.1170677390686716,-287.1924395633138,1.0609909385674243,20.0,20,920
64,2,659.7605828237864,0.0757850670405303,1.0,0.0017766072283333934,ok,,16,0.40017798729240894,1.0547237389222293,-269.86437746946444,1.0017766072283334,20.0,20,320
128,1,659.7605828237864,0.0757850670405303,1.0,0.03331181374382719,ok,,26,2.705722190439701,1.0177807814868107,7.451683710665856,0.9666881862561728,20.0,20,520
128,2,682.4957542710154,0.0732605290027127,1.0,0.0007262833617009967,ok,,16,1.6364624612033367,1.05208856247452,7.271776256661232,0.999273716638299,20.0,20,320
256,1,682.4957542710154,0.0732605290027127,1.0,0.020621357278761465,ok,,26,20.2778081279248,1.0311419695949027,8.28617155891413,0.9793786427212385,20.0,20,520
256,2,696.8660786543971,0.0717497974597167,1.0,0.00021146473734667826,ok,,16,3.3074917066842318,1.0526305909271987,8.247650268816434,0.9997885352626533,4.8125,20,77
64,1,3298.802914118932,0.01515701340810606,5.0,0.11179350130516834,ok,,31,0.7744151037186384,4.675755415323393,-1514.1433585496166,4.441032493474158,20.0,20,620
64,2,3714.0044786503286,0.013462557809884501,5.0,0.0164703972321961,ok,,21,0.522898705676198,5.177561606484543,-1723.7658439827715,4.9176480138390195,20.0,20,420
64,3,3785.7450578705175,0.013207439813214737,5.0,0.0002801931626295939,ok,,16,0.3997280802577734,5.2627911499124576,-1760.220512428565,4.998599034186852,20.0,20,320
128,1,3785.7450578705175,0.013207439813214737,5.0,0.02034379168740639,ok,,26,2.708123557269573,5.371361295469606,-60.67559521717044,5.101718958437032,20.0,20,520
128,2,3710.264215563848,0.013476129217498736,5.0,0.001976658592734637,ok,,16,1.6379822306334972,5.274671818239286,-56.863103941457695,5.009883292963673,20.0,20,320
256,1,3710.264215563848,0.013476129217498736,5.0,0.006189980331789968,ok,,21,16.421060835942626,5.296851865296852,-41.780828068230406,5.03094990165895,20.0,20,420
64,1,7571.490115741035,0.006603719906607368,10.0,0.11882304551267744,ok,,26,0.6502809282392263,9.27750004724492,-3751.7331040994322,8.811769544873226,20.0,20,520
64,2,8592.474050965397,0.005819045795591587,10.0,0.028013413513943597,ok,,21,0.5220754873007536,10.233592192946478,-4302.243941647289,9.719865864860564,20.0,20,420
64,3,8907.432327295954,0.00561328990923455,10.0,0.0007982304998332523,ok,,16,0.3979851044714451,10.520128126975855,-4472.67056779114,9.992017695001667,20.0,20,320
128,1,8907.432327295954,0.00561328990923455,10.0,0.06174182103196006,ok,,21,2.1665167044848204,11.178583080985051,-475.14112510867346,10.6174182103196,20.0,20,420
