resolution,force_iter,force,dt,target_re,rel_re_error,status,note,steps,elapsed_s,u_mean,p_mean,re,outer_mean,outer_max,outer_total
64,2,659.7605828237864,0.0757850670405303,1.0,0.0017766072283333934,ok,,16,0.40017798729240894,1.0547237389222293,-269.86437746946444,1.0017766072283334,20.0,20,320
128,2,682.4957542710154,0.0732605290027127,1.0,0.0007262833617009967,ok,,16,1.6364624612033367,1.05208856247452,7.271776256661232,0.999273716638299,20.0,20,320
256,2,696.8660786543971,0.0717497974597167,1.0,0.00021146473734667826,ok,,16,3.3074917066842318,1.0526305909271987,8.247650268816434,0.9997885352626533,4.8125,20,77
64,3,3785.7450578705175,0.013207439813214737,5.0,0.0002801931626295939,ok,,16,0.3997280802577734,5.2627911499124576,-1760.220512428565,4.998599034186852,20.0,20,320
128,2,3710.264215563848,0.013476129217498736,5.0,0.001976658592734637,ok,,16,1.6379822306334972,5.274671818239286,-56.863103941457695,5.009883292963673,20.0,20,320
256,1,3710.264215563848,0.013476129217498736,5.0,0.006189980331789968,ok,,21,16.421060835942626,5.296851865296852,-41.780828068230406,5.03094990165895,20.0,20,420
64,3,8907.432327295954,0.00561328990923455,10.0,0.0007982304998332523,ok,,16,0.3979851044714451,10.520128126975855,-4472.67056779114,9.992017695001667,20.0,20,320
128,2,8389.452266878188,0.0059598646502110175,10.0,0.011138352857444644,ok,,21,2.147886699065566,10.645802830674297,-425.10654654411593,10.111383528574446,20.0,20,420
256,2,8081.043031945071,0.006187320102410744,10.0,0.005626579652976638,ok,,21,16.26596057228744,10.587771948336247,-356.0752243369399,10.056265796529766,20.0,20,420
64,3,23278.925321325492,0.0021478654753102244,20.0,0.00313659897298475,ok,,21,0.5225603971630335,20.99101707784829,-12340.658116963337,19.937268020540305,20.0,20,420
128,3,20359.820730734282,0.0024558173012064993,20.0,0.0008047191492959627,ok,,16,1.635216522961855,21.040119622040514,-1783.4222070129797,19.98390561701408,20.0,20,320
256,2,19324.489767215702,0.0025873904357788416,20.0,0.013027236201080506,ok,,21,16.275817688554525,21.331380000022754,-1540.322748570785,20.26054472402161,20.0,20,420
64,3,68388.12897620605,0.0007311210402816585,40.0,0.007583430554539028,ok,,21,0.5226071048527956,41.79475971553847,-37405.56054604757,39.69666277781844,20.0,20,420
128,3,56883.70535851424,0.0008789863403741173,40.0,0.0019723640300487234,ok,,16,1.6361535619944334,42.03106489660776,-6777.969569723537,39.92110543879805,20.0,20,320
256,3,50636.80423721054,0.0009874240831979166,40.0,0.0007280578216219524,ok,,16,12.421946974471211,42.08346776914627,-5711.731987718341,39.97087768713512,20.0,20,320
64,3,136446.51397410114,0.0003664439533390386,60.0,0.004501874938818063,ok,,21,0.5231089890003204,62.886805120731644,-75759.24569044373,59.729887503670916,20.0,20,420
128,3,110182.50996467198,0.00045379253037557046,60.0,0.0028480513673353395,ok,,21,2.1454367339611053,62.99127913030099,-14536.404012210522,59.82911691795988,20.0,20,420
256,3,95727.42182042218,0.000522316375487438,60.0,0.0012011796856584785,ok,,16,12.42649321258068,63.09531398069119,-12302.399342740568,59.92792921886049,20.0,20,320
64,3,226897.52602795907,0.00022036379538946068,80.0,0.0027312152201426796,ok,,21,0.5229263585060835,83.99821307895198,-127232.88144609806,79.78150278238859,20.0,20,420
128,3,180429.1232040803,0.0002771171256174972,80.0,0.003339571495704874,ok,,21,2.146788926795125,83.9469722892647,-24946.351436939207,79.73283428034361,20.0,20,420
256,3,154752.51390151182,0.00032309652838222186,80.0,0.0014397181619663969,ok,,16,12.421101653948426,84.10699362712433,-21806.465178181177,79.88482254704269,20.0,20,320
64,3,339500.1087717414,0.00014727535782209977,100.0,0.001704851210999294,ok,,16,0.3978848922997713,105.10582741514011,-191709.79776860494,99.82951487890007,20.0,20,320
128,3,267597.8390025909,0.00018684754774688555,100.0,0.003838658377182185,ok,,21,2.1471877843141556,104.8811688379467,-38054.38340684052,99.61613416228178,20.0,20,420
256,3,228088.9715519657,0.00021921270309471522,100.0,0.0014561318781876765,ok,,16,12.426728734746575,105.13201391048771,-34536.37671691145,99.85438681218123,20.0,20,320
